Location,4/9/20,4/10/20,delta
"Fairfax, Virginia, US",690,777,12.61
"Henrico, Virginia, US",319,342,7.21
"Prince William, Virginia, US",299,337,12.71
"Arlington, Virginia, US",280,312,11.43
"Loudoun, Virginia, US",258,274,6.20
"Virginia Beach, Virginia, US",219,224,2.28
"Chesterfield, Virginia, US",158,179,13.29
"Alexandria, Virginia, US",149,174,16.78
"Richmond City, Virginia, US",126,139,10.32
"James City, Virginia, US",123,125,1.63
"Chesapeake, Virginia, US",101,109,7.92
"Norfolk, Virginia, US",84,88,4.76
"Newport News, Virginia, US",64,68,6.25
"Frederick, Virginia, US",54,62,14.81
"Stafford, Virginia, US",54,60,11.11
"Hampton, Virginia, US",53,62,16.98
"Portsmouth, Virginia, US",44,48,9.09
"Albemarle, Virginia, US",43,43,0.00
"Harrisonburg, Virginia, US",39,57,46.15
"Spotsylvania, Virginia, US",36,43,19.44
"Suffolk, Virginia, US",31,35,12.90
"Hanover, Virginia, US",29,31,6.90
"Charlottesville, Virginia, US",27,28,3.70
"Manassas,Virginia,US",25,29,16.00
"Mecklenburg, Virginia, US",25,48,92.00
"Prince George, Virginia, US",25,26,4.00
"York, Virginia, US",25,25,0.00
"Goochland, Virginia, US",24,26,8.33
"Isle of Wight, Virginia, US",24,24,0.00
"Lynchburg, Virginia, US",21,27,28.57
"Rockingham, Virginia, US",21,31,47.62
"Fauquier, Virginia, US",20,23,15.00
"Danville, Virginia, US",19,20,5.26
"Botetourt, Virginia, US",18,21,16.67
"Louisa, Virginia, US",17,20,17.65
"Montgomery, Virginia, US",17,18,5.88
"Fluvanna, Virginia, US",16,15,-6.25
"Gloucester, Virginia, US",16,18,12.50
"Williamsburg, Virginia, US",16,17,6.25
"Winchester, Virginia, US",16,16,0.00
"Roanoke City, Virginia, US",15,16,6.67
"Shenandoah, Virginia, US",15,15,0.00
"Washington, Virginia, US",15,17,13.33
"Augusta, Virginia, US",13,15,15.38
"Culpeper, Virginia, US",13,14,7.69
"Franklin, Virginia, US",13,13,0.00
"Hopewell, Virginia, US",13,14,7.69
"King George, Virginia, US",13,14,7.69
"Bedford, Virginia, US",12,15,25.00
"Petersburg, Virginia, US",12,13,8.33
"Accomack, Virginia, US",11,12,9.09
"New Kent, Virginia, US",11,13,18.18
"Fredericksburg, Virginia, US",10,10,0.00
"Amherst, Virginia, US",9,9,0.00
"Buckingham, Virginia, US",9,10,11.11
"Orange, Virginia, US",9,14,55.56
"Roanoke, Virginia, US",9,13,44.44
"Warren, Virginia, US",9,10,11.11
"Amelia, Virginia, US",8,9,12.50
"Smyth, Virginia, US",8,9,12.50
"Cumberland, Virginia, US",6,8,33.33
"Franklin City, Virginia, US",6,6,0.00
"Greensville, Virginia, US",6,7,16.67
"Sussex, Virginia, US",6,8,33.33
"Wythe, Virginia, US",6,7,16.67
"Charles City, Virginia, US",5,7,40.00
"Emporia, Virginia, US",5,5,0.00
"Henry, Virginia, US",5,5,0.00
"Madison, Virginia, US",5,5,0.00
"Manassas Park, Virginia, US",5,7,40.00
"Page, Virginia, US",5,5,0.00
"Poquoson, Virginia, US",5,6,20.00
"Southampton, Virginia, US",5,5,0.00
"Westmoreland, Virginia, US",5,8,60.00
"Wise, Virginia, US",5,8,60.00
"Appomattox, Virginia, US",4,5,25.00
"Buena Vista, Virginia, US",4,4,0.00
"Campbell, Virginia, US",4,7,75.00
"Caroline, Virginia, US",4,6,50.00
"Greene, Virginia, US",4,4,0.00
"Halifax, Virginia, US",4,5,25.00
"Pittsylvania, Virginia, US",4,4,0.00
"Powhatan, Virginia, US",4,4,0.00
"Tazewell, Virginia, US",4,4,0.00
"Carroll, Virginia, US",3,3,0.00
"Clarke, Virginia, US",3,3,0.00
"Lee, Virginia, US",3,3,0.00
"Lexington, Virginia, US",3,3,0.00
"Nelson, Virginia, US",3,4,33.33
"Northumberland, Virginia, US",3,3,0.00
"Nottoway, Virginia, US",3,3,0.00
"Prince Edward, Virginia, US",3,5,66.67
"Pulaski, Virginia, US",3,4,33.33
"Richmond, Virginia, US",3,5,66.67
"Rockbridge, Virginia, US",3,3,0.00
"Surry, Virginia, US",3,3,0.00
"Waynesboro, Virginia, US",3,5,66.67
"Alleghany, Virginia, US",2,2,0.00
"Colonial Heights, Virginia, US",2,4,100.00
"Craig, Virginia, US",2,2,0.00
"Dinwiddie, Virginia, US",2,3,50.00
"Giles, Virginia, US",2,2,0.00
"King William, Virginia, US",2,2,0.00
"King and Queen, Virginia, US",2,2,0.00
"Lunenburg, Virginia, US",2,2,0.00
"Mathews, Virginia, US",2,2,0.00
"Middlesex, Virginia, US",2,3,50.00
"Northampton, Virginia, US",2,4,100.00
"Bristol, Virginia, US",1,1,0.00
"Brunswick, Virginia, US",1,2,100.00
"Buchanan, Virginia, US",1,1,0.00
"Charlotte, Virginia, US",1,2,100.00
"Covington, Virginia, US",1,1,0.00
"Floyd, Virginia, US",1,0,-100.00
"Galax, Virginia, US",1,1,0.00
"Lancaster, Virginia, US",1,1,0.00
"Radford, Virginia, US",1,1,0.00
"Rappahannock, Virginia, US",1,1,0.00
"Russell, Virginia, US",1,1,0.00
"Salem, Virginia, US",1,1,0.00
"Staunton, Virginia, US",1,1,0.00
